id,value
id_0,25.528329
id_1,63.759613
id_2,18.033139
id_3,28.708592
id_4,8.786795
id_5,33.581130
id_6,41.218600
id_7,17.914592
id_8,52.192236
id_9,32.738931
id_10,38.363335
id_11,59.654652
id_12,34.700000
id_13,41.832722
id_14,25.977318
id_15,13.458711
id_16,51.003362
id_17,23.684218
id_18,18.312998
id_19,19.681941
id_20,15.289685
id_21,31.179894
id_22,38.775748
id_23,9.923892
id_24,60.677208
id_25,46.331003
id_26,28.726171
id_27,6.068255
id_28,29.208540
id_29,36.860848
id_30,18.469721
id_31,11.167722
id_32,16.337120
id_33,7.808103
id_34,15.010096
id_35,42.700829
id_36,21.885736
id_37,27.253811
id_38,3.591253
id_39,58.804933
id_40,47.461976
id_41,18.838405
id_42,52.713321
id_43,18.270992
id_44,45.644919
id_45,48.273639
id_46,57.253848
id_47,40.386592
id_48,56.028869
id_49,39.778440
id_50,29.635034
id_51,23.186086
id_52,38.490796
id_53,23.603500
id_54,36.888010
id_55,37.588628
id_56,25.045151
id_57,22.171333
id_58,34.508633
id_59,31.469411
id_60,12.923595
id_61,20.471121
id_62,32.638797
id_63,54.337284
id_64,51.197189
id_65,25.531360
id_66,38.083367
id_67,53.255716
id_68,29.759931
id_69,39.466079
id_70,64.752495
id_71,54.602291
id_72,41.918093
id_73,13.994040
id_74,13.777347
id_75,36.213726
id_76,62.699079
id_77,2.391503
id_78,40.561865
id_79,41.740982
id_80,7.561359
id_81,22.546997
id_82,5.830188
id_83,29.376441
id_84,8.729656
id_85,4.873225
id_86,16.021812
id_87,10.888296
id_88,18.908886
id_89,25.112658
id_90,35.368599
id_91,12.058600
id_92,11.244614
id_93,8.565319
id_94,37.209972
id_95,14.678105
id_96,16.501723
id_97,8.817855
id_98,11.206016
id_99,4.138786
id_100,9.513870
id_101,17.648328
id_102,12.275999
id_103,7.441760
id_104,12.298724
id_105,36.738623
id_106,27.545081
id_107,7.067824
id_108,16.213985
id_109,14.595363
id_110,11.870048
id_111,15.697596
id_112,15.589851
id_113,26.378714
id_114,18.284042
id_115,15.621828
id_116,5.578350
id_117,45.770308
id_118,26.035339
id_119,-0.491254
id_120,-1.213865
id_121,9.012879
id_122,12.528768
id_123,12.488110
id_124,7.201150
id_125,24.609041
id_126,20.722133
id_127,9.264309
id_128,20.093623
id_129,13.785728
id_130,-0.489007
id_131,32.448892
id_132,13.770890
id_133,19.200940
id_134,25.679293
id_135,24.022051
id_136,9.112210
id_137,20.678155
id_138,78.666290
id_139,59.190223
id_140,26.260706
id_141,17.810863
id_142,24.798593
id_143,6.718090
id_144,11.541771
id_145,9.407165
id_146,19.335017
id_147,7.112580
id_148,12.724633
id_149,14.231598
id_150,46.764774
id_151,21.510339
id_152,21.931836
id_153,14.410566
id_154,13.267107
id_155,23.967308
id_156,25.690901
id_157,36.108324
id_158,3.385335
id_159,23.179860
id_160,41.843753
id_161,19.532156
id_162,63.296384
id_163,16.422562
id_164,33.867440
id_165,23.050012
id_166,22.956043
id_167,0.283811
id_168,67.440977
id_169,14.763124
id_170,14.766618
id_171,69.824497
id_172,20.521579
id_173,0.841983
id_174,23.641763
id_175,-0.409928
id_176,7.228684
id_177,18.028111
id_178,19.935601
id_179,26.232618
id_180,43.011698
id_181,31.730206
id_182,27.709496
id_183,12.691372
id_184,6.457465
id_185,41.920945
id_186,36.292971
id_187,34.490874
id_188,17.098903
id_189,22.809756
id_190,14.396227
id_191,15.424695
id_192,31.211248
id_193,72.137260
id_194,28.125888
id_195,9.936467
id_196,62.760212
id_197,15.024620
id_198,20.457955
id_199,21.140058
id_200,125.002463
id_201,23.249278
id_202,58.914807
id_203,5.653910
id_204,60.694248
id_205,37.702427
id_206,15.417133
id_207,12.952984
id_208,62.264112
id_209,13.633439
id_210,35.069558
id_211,68.828946
id_212,19.288590
id_213,112.560973
id_214,41.805471
id_215,78.682286
id_216,92.682424
id_217,71.445389
id_218,29.829684
id_219,18.103563
id_220,29.860513
id_221,58.095370
id_222,27.745923
id_223,38.708055
id_224,43.492877
id_225,10.700536
id_226,3.427105
id_227,81.463215
id_228,31.449291
id_229,0.665097
id_230,40.711149
id_231,16.330984
id_232,21.924725
id_233,7.859697
id_234,14.044118
id_235,25.216585
id_236,14.089504
id_237,2.359421
id_238,21.783475
id_239,11.050971
